#! FIELDS phi projection
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  100
#! SET periodic_phi true
   -3.141592654   16.123812950
   -3.078760801   12.907386967
   -3.015928947   10.085355573
   -2.953097094    7.682526049
   -2.890265241    5.709396592
   -2.827433388    4.166007047
   -2.764601535    3.034707125
   -2.701769682    2.292434272
   -2.638937829    1.899719620
   -2.576105976    1.809269228
   -2.513274123    1.967912933
   -2.450442270    2.319364006
   -2.387610417    2.802620571
   -2.324778564    3.355160054
   -2.261946711    3.918307275
   -2.199114858    4.436142914
   -2.136283004    4.859389560
   -2.073451151    5.142150430
   -2.010619298    5.252392617
   -1.947787445    5.159889572
   -1.884955592    4.857977712
   -1.822123739    4.360458924
   -1.759291886    3.699213013
   -1.696460033    2.929399023
   -1.633628180    2.119606515
   -1.570796327    1.347528320
   -1.507964474    0.691583993
   -1.445132621    0.224105926
   -1.382300768    0.000000000
   -1.319468915    0.070651976
   -1.256637061    0.473306863
   -1.193805208    1.226237232
   -1.130973355    2.340605396
   -1.068141502    3.811244166
   -1.005309649    5.629559463
   -0.942477796    7.767697875
   -0.879645943   10.191349914
   -0.816814090   12.858328154
   -0.753982237   15.703254230
   -0.691150384   18.665666777
   -0.628318531   21.669477362
   -0.565486678   24.630469729
   -0.502654825   27.455079784
   -0.439822972   30.059929249
   -0.376991118   32.369223550
   -0.314159265   34.331269190
   -0.251327412   35.908955450
   -0.188495559   37.082661228
   -0.125663706   37.831796808
   -0.062831853   38.150978380
    0.000000000   38.031717628
    0.062831853   37.475837246
    0.125663706   36.496221809
    0.188495559   35.104788062
    0.251327412   33.335632395
    0.314159265   31.224883433
    0.376991118   28.828092674
    0.439822972   26.214951673
    0.502654825   23.456001218
    0.565486678   20.641095233
    0.628318531   17.868346510
    0.691150384   15.229031540
    0.753982237   12.830839472
    0.816814090   10.767618551
    0.879645943    9.134066159
    0.942477796    8.010824816
    1.005309649    7.461439819
    1.068141502    7.540174050
    1.130973355    8.269681090
    1.193805208    9.667517451
    1.256637061   11.706291809
    1.319468915   14.357865455
    1.382300768   17.566721410
    1.445132621   21.247260234
    1.507964474   25.311150459
    1.570796327   29.667430109
    1.633628180   34.195944487
    1.696460033   38.783903327
    1.759291886   43.311692108
    1.822123739   47.667712723
    1.884955592   51.747366401
    1.947787445   55.442192047
    2.010619298   58.646052551
    2.073451151   61.240385907
    2.136283004   63.093016412
    2.199114858   64.074884337
    2.261946711   64.111145583
    2.324778564   63.219781507
    2.387610417   61.508654639
    2.450442270   59.110014663
    2.513274123   56.146862092
    2.576105976   52.723856558
    2.638937829   48.931839183
    2.701769682   44.862338274
    2.764601535   40.608654640
    2.827433388   36.262265615
    2.890265241   31.917238107
    2.953097094   27.658574797
    3.015928947   23.556194710
    3.078760801   19.688933781
